개방서비스명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,소재지면적,소재지전체주소,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,다중이용업소여부,시설총규모
휴게음식점,20160412,,01,영업/정상,01,영업,,33.68,부산광역시 연제구 연산동 2121-15번지,컴포즈커피(배산점),20190517102103,U,2019-05-19 02:40:00.0,커피숍,390838.742552101,188064.949962001,커피숍,,,N,33.68
휴게음식점,20101008,,01,영업/정상,01,영업,,10.89,부산광역시 연제구 연산동 1244-20번지,라치노 커피,20180405155818,I,2018-08-31 23:59:59.0,커피숍,389398.595342888,189373.986547938,커피숍,,,N,10.89
휴게음식점,20101015,,01,영업/정상,01,영업,,48.01,부산광역시 연제구 연산동 1606-11번지 지상1층,Coffee N(커피엔),20160705170541,I,2018-08-31 23:59:59.0,기타 휴게음식점,389342.073027611,188458.492057593,기타 휴게음식점,,,N,48.01
휴게음식점,20160331,,01,영업/정상,01,영업,,143.33,부산광역시 연제구 거제동 96번지 2층,커피데이,20190110103147,U,2019-01-12 02:40:00.0,커피숍,389156.038767943,190640.655756114,커피숍,,,Y,143.33
휴게음식점,20120208,,01,영업/정상,01,영업,,71.07,부산광역시 연제구 연산동 478-14번지,이디야커피토곡점,20170131100538,I,2018-08-31 23:59:59.0,커피숍,391886.590332775,189305.794754776,커피숍,,,N,71.07
휴게음식점,20130527,,01,영업/정상,01,영업,,23.87,부산광역시 해운대구 중동 1394-160번지,컴포즈커피,20171115110033,I,2018-08-31 23:59:59.0,일반조리판매,396995.757559235,186949.745478768,일반조리판매,,,N,23.87
휴게음식점,20170404,,01,영업/정상,01,영업,,32.00,부산광역시 해운대구 우동 1407번지,카페051(CAFE051),20170504094115,I,2018-08-31 23:59:59.0,커피숍,395388.715069604,186268.853282623,커피숍,,,N,32
휴게음식점,20170417,,01,영업/정상,01,영업,,153.04,부산광역시 해운대구 우동 1495번지,제이엠커피,20180314110903,I,2018-08-31 23:59:59.0,커피숍,393952.264486105,187602.933160728,커피숍,,,N,153.04
휴게음식점,20170526,,01,영업/정상,01,영업,,8.93,부산광역시 해운대구 좌동 1314-2번지,커피에 반하다 부산장산점,20170706161136,I,2018-08-31 23:59:59.0,커피숍,398320.764293408,187928.258297607,커피숍,,,N,8.93
휴게음식점,20171017,,01,영업/정상,01,영업,,11.32,부산광역시 해운대구 재송동 1025-1번지,라임의류카페,20171017163801,I,2018-08-31 23:59:59.0,기타 휴게음식점,393365.595547019,190089.000147313,기타 휴게음식점,,,N,11.32
